Title,glide gscore,RMSD
decoy,-6.658,7.875
decoy,-6.658,6.688
decoy,-6.655,8.688
decoy,-6.654,7.008
decoy,-6.828,7.005
decoy,-6.653,8.429
decoy,-6.652,6.203
decoy,-6.652,6.91
decoy,-6.65,10.439
decoy,-6.937,6.487
decoy,-6.651,7.02
decoy,-6.648,7.287
decoy,-6.695,8.823
decoy,-6.648,9.164
decoy,-6.648,11.011
decoy,-7.806,7.445
decoy,-6.691,7.276
MBX2319,-6.645,6.46
decoy,-6.713,7.728
decoy,-6.645,11.255
decoy,-6.644,9.107
decoy,-6.772,6.423
decoy,-6.641,9.102
decoy,-7.134,9.957
decoy,-6.64,7.086
CHEMBL4777095,-6.64,7.988
decoy,-6.64,8.01
decoy,-7.272,9.424
decoy,-6.639,7.899
decoy,-6.64,5.901
decoy,-7.676,7.145
decoy,-6.636,5.706
decoy,-6.789,8.165
decoy,-6.636,7.291
decoy,-6.634,9.298
decoy,-6.632,6.763
decoy,-6.628,6.16
decoy,-6.637,8.302
decoy,-6.724,8.775
decoy,-6.625,6.038
decoy,-6.632,7.708
decoy,-6.624,10.062
decoy,-6.623,6.144
decoy,-6.623,8.084
decoy,-6.654,9.002
decoy,-6.62,11.025
decoy,-6.62,5.411
decoy,-6.767,5.981
decoy,-6.618,6.689
decoy,-6.617,7.853
decoy,-6.616,6.726
decoy,-6.615,6.938
decoy,-6.703,7.307
decoy,-6.612,10.233
decoy,-6.612,7.41
decoy,-6.651,7.916
decoy,-6.61,11.108
decoy,-6.781,7.248
CHEMBL4548290,-6.609,10.598
decoy,-6.609,10.552
decoy,-6.952,7.696
decoy,-6.63,7.115
decoy,-6.686,7.715
decoy,-6.605,8.947
decoy,-6.61,7.671
decoy,-6.778,5.658
decoy,-6.604,9.639
decoy,-6.711,8.124
decoy,-6.603,9.829
rhodamin6G,-6.602,6.601
decoy,-6.601,8.731
decoy,-6.6,8.03
decoy,-6.599,8.592
decoy,-6.597,8.265
decoy,-6.597,6.554
decoy,-6.596,7.383
decoy,-6.596,5.823
decoy,-6.595,6.499
decoy,-6.602,8.81
decoy,-6.595,6.13
decoy,-6.594,6.518
decoy,-6.593,9.288
decoy,-6.61,6.707
decoy,-6.592,8.698
decoy,-6.658,7.125
decoy,-6.653,7.299
decoy,-6.593,9.642
decoy,-6.591,10.795
decoy,-6.591,8.375
decoy,-6.59,8.005
decoy,-7.776,6.287
decoy,-6.588,6.341
decoy,-6.587,8.275
decoy,-6.882,7.248
decoy,-6.585,9.253
decoy,-6.584,7.229
decoy,-7.303,7.626
decoy,-6.582,8.619
decoy,-6.579,9.259
decoy,-6.604,8.581
decoy,-6.612,7.454
decoy,-6.577,6.498
decoy,-6.577,8.914
decoy,-7.035,6.866
decoy,-6.575,8.151
decoy,-6.584,5.609
decoy,-6.573,8.107
decoy,-6.588,7.369
decoy,-6.57,7.799
decoy,-6.569,9.09
decoy,-6.594,6.853
decoy,-6.622,10.094
decoy,-6.567,10.566
decoy,-6.659,7.307
decoy,-6.562,8.814
decoy,-6.562,7.969
decoy,-6.562,9.261
decoy,-6.561,5.505
decoy,-6.56,10.608
decoy,-6.559,9.506
decoy,-6.576,6.804
decoy,-6.619,7.245
decoy,-6.557,9.976
decoy,-6.556,10.305
decoy,-7.886,7.072
decoy,-6.558,9.413
decoy,-6.552,6.61
decoy,-6.55,7.196
decoy,-6.961,9.262
decoy,-6.55,9.424
decoy,-7.507,7.448
decoy,-6.549,9.006
decoy,-6.549,9.284
decoy,-6.616,6.606
decoy,-6.547,10.383
decoy,-6.639,6.374
decoy,-6.544,5.641
decoy,-6.544,9.344
CHEMBL4751754,-6.543,6.64
decoy,-6.543,6.771
decoy,-6.542,7.47
CHEMBL4749653,-6.542,7.585
decoy,-6.542,7.493
decoy,-6.539,7.063
decoy,-6.539,10.352
decoy,-6.536,9.853
decoy,-6.535,12.126
decoy,-6.534,8.316
decoy,-6.533,8.945
decoy,-6.532,6.802
decoy,-6.69,6.622
decoy,-6.527,8.124
decoy,-6.622,6.28
decoy,-6.524,8.234
decoy,-6.524,9.209
decoy,-6.932,8.138
decoy,-6.519,6.975
decoy,-7.049,7.396
decoy,-6.519,9.55
decoy,-6.518,9.746
decoy,-6.516,8.315
decoy,-6.516,8.425
decoy,-6.515,8.325
decoy,-6.624,6.367
decoy,-6.512,6.253
decoy,-6.516,7.26
decoy,-6.511,7.377
decoy,-6.51,7.192
decoy,-6.794,10.053
decoy,-6.509,7.041
decoy,-6.528,8.135
decoy,-6.523,7.737
decoy,-6.517,6.812
decoy,-6.776,6.776
decoy,-6.513,6.707
decoy,-6.506,8.024
decoy,-6.505,6.918
decoy,-6.504,7.657
decoy,-6.503,7.3
decoy,-6.644,6.692
decoy,-6.503,8.062
decoy,-6.5,9.086
decoy,-6.5,7.774
decoy,-6.498,8.304
decoy,-8.337,8.054
decoy,-6.497,8.837
decoy,-6.497,7.955
decoy,-6.496,8.291
decoy,-6.705,6.334
decoy,-6.495,8.606
decoy,-6.513,7.058
decoy,-6.494,9.424
decoy,-6.493,8.374
decoy,-6.493,7.075
decoy,-6.502,6.243
decoy,-6.49,6.772
decoy,-6.558,7.205
decoy,-6.487,7.774
decoy,-6.486,7.382
decoy,-6.486,8.912
decoy,-6.485,5.877
decoy,-6.484,8.048
decoy,-6.484,11.111
decoy,-6.484,6.33
decoy,-6.492,10.362
decoy,-6.482,6.16
decoy,-6.482,7.619
decoy,-6.481,8.301
decoy,-6.479,8.714
decoy,-6.479,7.975
decoy,-6.479,6.721
decoy,-6.477,7.154
decoy,-6.6,7.071
decoy,-8.104,7.083
decoy,-6.473,7.139
decoy,-6.621,8.655
decoy,-6.729,8.053
decoy,-6.47,9.034
decoy,-6.469,8.717
decoy,-6.465,6.334
decoy,-6.464,7.716
decoy,-6.462,7.67
decoy,-6.461,9.342
decoy,-6.574,8.228
decoy,-6.469,6.522
decoy,-6.466,7.95
decoy,-6.456,5.287
decoy,-7.442,7.526
decoy,-6.455,9.029
decoy,-6.455,7.898
decoy,-6.601,8.084
decoy,-6.451,7.859
decoy,-6.45,8.341
decoy,-6.45,8.041
decoy,-6.45,9.623
decoy,-6.711,7.282
decoy,-6.451,6.864
decoy,-6.449,8.386
decoy,-7.722,5.785
decoy,-6.448,9.22
decoy,-6.449,7.772
decoy,-7.015,6.355
decoy,-6.758,6.635
decoy,-6.446,7.015
decoy,-6.484,7.39
decoy,-6.444,7.248
decoy,-6.444,8.947
decoy,-7.259,8.59
decoy,-6.444,9.712
decoy,-6.666,5.178
decoy,-6.439,10.386
decoy,-6.434,7.101
decoy,-6.432,9.234
decoy,-6.432,8.71
decoy,-6.452,6.342
decoy,-6.43,7.477
decoy,-6.433,8.192
decoy,-6.438,6.454
decoy,-8.062,7.694
decoy,-6.427,7.918
decoy,-6.427,10.017
decoy,-6.82,6.679
decoy,-7.662,7.465
decoy,-6.46,7.252
decoy,-6.424,7.697
decoy,-6.424,11.63
decoy,-6.423,6.91
decoy,-6.422,9.016
decoy,-6.985,5.964
decoy,-6.456,7.925
decoy,-6.468,6.779
decoy,-6.42,7.797
decoy,-6.527,5.473
decoy,-6.42,6.051
decoy,-6.419,7.553
decoy,-6.418,9.127
CHEMBL4752573,-6.418,5.779
decoy,-6.417,7.932
decoy,-6.962,5.952
decoy,-6.433,7.857
decoy,-6.433,7.857
decoy,-6.416,7.461
decoy,-6.416,8.086
decoy,-6.416,8.74
decoy,-6.735,6.616
decoy,-6.413,9.415
decoy,-6.412,9.261
decoy,-6.823,4.881
decoy,-6.409,7.567
decoy,-6.409,8.245
decoy,-6.408,9.234
decoy,-6.409,8.383
decoy,-6.407,8.963
decoy,-6.407,6.264
decoy,-6.406,10.193
decoy,-6.416,9.062
decoy,-6.417,8.233
decoy,-6.403,9.412
decoy,-6.403,7.431
decoy,-6.403,9.753
decoy,-6.402,8.119
decoy,-6.4,9.382
decoy,-6.4,5.203
decoy,-6.404,8.19
decoy,-6.404,6.376
decoy,-6.407,7.671
decoy,-6.392,6.464
decoy,-6.811,6.006
decoy,-6.392,10.961
decoy,-6.481,7.679
decoy,-6.39,10.77
decoy,-6.389,7.381
decoy,-6.389,11.004
decoy,-6.388,7.698
decoy,-6.388,9.773
decoy,-6.661,7.751
decoy,-6.428,8.278
decoy,-6.386,7.747
decoy,-6.386,8.208
decoy,-6.417,8.001
decoy,-6.381,6.97
decoy,-6.379,5.482
decoy,-6.378,8.884
decoy,-6.377,7.195
decoy,-6.634,5.99
decoy,-6.374,8.023
decoy,-6.554,5.82
decoy,-6.375,8.552
decoy,-7.097,6.106
decoy,-6.37,9.235
decoy,-6.37,8.253
decoy,-6.456,6.483
decoy,-6.94,6.257
decoy,-6.37,8.388
decoy,-6.399,6.813
decoy,-6.366,9.943
decoy,-6.366,7.124
decoy,-6.365,10.568
decoy,-6.462,7.889
decoy,-6.364,8.384
decoy,-6.37,8.268
decoy,-8.39,8.518
decoy,-6.406,7.807
decoy,-6.358,6.35
decoy,-6.356,7.813
decoy,-6.355,5.276
decoy,-6.362,8.877
decoy,-6.353,7.062
decoy,-6.353,6.238
decoy,-6.351,9.509
decoy,-6.351,8.75
decoy,-6.351,8.75
decoy,-6.351,9.464
decoy,-6.37,6.258
decoy,-6.35,8.942
decoy,-6.35,9.858
decoy,-6.361,7.577
decoy,-6.347,7.855
decoy,-7.372,6.774
decoy,-6.346,12.021
decoy,-6.365,7.929
decoy,-6.445,6.755
decoy,-6.342,7.038
decoy,-6.341,6.862
decoy,-6.356,8.983
decoy,-6.341,8.639
CHEMBL4744180,-6.339,7.169
decoy,-6.339,7.765
decoy,-6.338,8.141
decoy,-6.337,9.832
decoy,-6.337,7.191
decoy,-6.393,7.241
CHEMBL4749228,-6.335,6.433
decoy,-6.336,7.704
decoy,-6.334,8.175
decoy,-6.332,10.519
decoy,-6.331,7.758
decoy,-6.33,9.037
decoy,-6.33,9.691
decoy,-6.33,9.093
decoy,-6.917,6.823
decoy,-6.329,8.264
decoy,-6.555,7.668
decoy,-6.345,6.778
decoy,-6.358,6.978
decoy,-6.356,6.093
CHEMBL4799913,-6.324,8.029
decoy,-6.324,8.048
decoy,-6.321,11.141
decoy,-6.321,6.683
decoy,-6.356,8.75
decoy,-6.321,8.077
decoy,-6.502,6.821
decoy,-6.517,6.416
decoy,-6.477,7.41
decoy,-6.73,8.853
decoy,-6.322,9.231
decoy,-6.316,7.372
decoy,-6.317,6.499
decoy,-6.312,7.715
decoy,-6.312,7.124
CHEMBL4796256,-6.311,8.141
decoy,-6.311,8.278
decoy,-6.31,6.984
decoy,-6.309,11.576
decoy,-6.616,6.949
decoy,-6.31,9.856
decoy,-6.308,8.791
decoy,-6.307,8.882
decoy,-6.316,9.747
decoy,-7.366,8.073
decoy,-7.5,6.816
decoy,-6.302,7.612
decoy,-6.3,7.905
decoy,-6.311,7.116
decoy,-6.298,6.428
decoy,-6.297,6.67
decoy,-6.297,10.453
decoy,-6.295,9.19
decoy,-6.741,6.293
decoy,-6.294,9.217
decoy,-6.326,8.123
decoy,-6.417,5.746
decoy,-6.406,6.71
decoy,-7.214,5.802
decoy,-6.291,7.528
decoy,-6.295,8.295
decoy,-6.29,7.658
decoy,-6.29,5.792
decoy,-6.288,9.951
decoy,-6.286,7.225
decoy,-6.288,6.053
decoy,-6.286,8.112
decoy,-6.286,8.186
decoy,-6.286,7.801
decoy,-6.305,8.303
decoy,-6.712,10.081
decoy,-6.282,7.761
decoy,-6.281,6.793
decoy,-6.306,6.57
decoy,-6.281,5.627
decoy,-6.297,7.149
decoy,-6.339,8.439
decoy,-6.368,6.551
decoy,-6.275,6.492
decoy,-6.275,9.191
decoy,-6.366,9.322
decoy,-6.503,9.145
decoy,-6.274,7.047
decoy,-6.319,8.054
decoy,-6.317,9.09
decoy,-6.271,8.406
decoy,-6.319,5.672
decoy,-6.269,7.496
decoy,-6.268,9.286
decoy,-6.266,8.587
